id_client,numero_compte,nom,prenom,email,telephone,age,ville,code_postal,solde_compte,revenu_annuel,carte_credit,type_compte,date_ouverture,statut
CLI000001,6546-949422,Boucher,David,david.boucher@hotmail.com,514-262-3133,48,Québec,X0D 3J4,289965.25,162216,4620-5699-6108-5184,Entreprise,2017-02-15,Actif
CLI000002,1018-483291,Boucher,Nathalie,nathalie.boucher@gmail.com,514-632-1326,67,Longueuil,T7A 5A3,331935.70,31268,4166-9457-1931-3404,Épargne,2021-08-22,Inactif
CLI000003,4419-852875,Boucher,Philippe,philippe.boucher@gmail.com,514-857-9405,52,Gatineau,B0Z 0K2,31033.00,248538,4372-6608-5797-9414,Entreprise,2021-06-21,Actif
CLI000004,3264-885422,Côté,Thomas,thomas.côté@gmail.com,514-812-6926,69,Sherbrooke,Y2E 9I9,459578.69,50474,4971-2739-8638-1829,Premium,2016-01-16,Inactif
CLI000005,6534-183165,Côté,Marc,marc.côté@outlook.com,514-212-7587,69,Saguenay,G1O 7G5,405010.99,126233,4625-5144-4483-6630,Entreprise,2015-02-13,Suspendu
CLI000006,4038-205786,Bélanger,Sarah,sarah.bélanger@gmail.com,514-522-3627,49,Lévis,B2W 1V5,138196.25,184305,4513-3848-5933-3119,Entreprise,2024-07-26,Suspendu
CLI000007,6306-106758,Boucher,Laura,laura.boucher@hotmail.com,514-237-5746,66,Terrebonne,W0O 7L2,239161.18,110803,4800-3514-4330-6394,Étudiant,2024-04-02,Suspendu
CLI000008,9976-943977,Bélanger,Pierre,pierre.bélanger@yahoo.ca,514-434-5886,46,Québec,I9G 3H0,215001.62,243255,4931-8568-8553-3906,Étudiant,2022-02-16,Inactif
CLI000009,6438-862233,Gagnon,Thomas,thomas.gagnon@outlook.com,514-407-2538,31,Trois-Rivières,L0G 1F4,423493.46,234967,4161-3874-9861-4596,Étudiant,2024-04-25,Suspendu
CLI000010,1106-720374,Lavoie,Isabelle,isabelle.lavoie@yahoo.ca,514-485-5279,21,Trois-Rivières,P9E 7L0,454072.45,176859,4141-3174-7631-7669,Courant,2024-06-14,Suspendu
CLI000011,2988-818773,Lavoie,Luc,luc.lavoie@gmail.com,514-849-4042,71,Trois-Rivières,Q0Y 6O1,209359.12,126955,4397-7305-4970-6258,Premium,2019-06-23,Fermé
CLI000012,9495-883836,Tremblay,François,françois.tremblay@hotmail.com,514-578-7100,62,Québec,B5O 4M2,217116.87,127055,4566-2211-5952-2211,Étudiant,2015-09-24,Fermé
CLI000013,1496-769048,Côté,Luc,luc.côté@hotmail.com,514-968-4886,40,Terrebonne,Q7Z 2Y2,306379.14,184420,4108-4501-6012-9813,Étudiant,2016-04-01,Fermé
CLI000014,6201-705024,Lévesque,Isabelle,isabelle.lévesque@hotmail.com,514-290-8165,25,Trois-Rivières,D7I 3V6,65627.94,233961,4853-9305-7544-2329,Entreprise,2023-12-10,Actif
CLI000015,1664-475162,Tremblay,Marc,marc.tremblay@yahoo.ca,514-622-6442,50,Trois-Rivières,E6L 1R7,476866.99,181296,4919-4415-4763-1140,Étudiant,2024-02-15,Suspendu
CLI000016,8438-999657,Bergeron,Alexandre,alexandre.bergeron@outlook.com,514-718-5376,40,Québec,Z8G 9Y1,120921.85,244802,4867-9320-9321-8295,Épargne,2017-08-13,Actif
CLI000017,3563-508415,Roy,Alexandre,alexandre.roy@outlook.com,514-837-1081,28,Saguenay,I0C 0O4,440612.87,209643,4480-9548-2479-6203,Entreprise,2022-03-16,Fermé
CLI000018,7777-182515,Morin,David,david.morin@yahoo.ca,514-373-4930,27,Terrebonne,B7L 2W1,171639.78,132451,4667-7930-8919-3684,Courant,2016-05-05,Inactif
CLI000019,9161-471017,Morin,Luc,luc.morin@bnc.ca,514-289-5127,27,Trois-Rivières,Y2D 0S1,285813.39,245243,4475-3016-8041-4419,Épargne,2019-05-23,Fermé
CLI000020,5717-250299,Gagnon,Marie,marie.gagnon@outlook.com,514-240-3129,47,Gatineau,T2O 4Q9,48537.76,111583,4944-4326-9700-6358,Étudiant,2019-03-15,Actif
CLI000021,5026-790175,Fortin,David,david.fortin@yahoo.ca,514-547-8688,56,Longueuil,H2X 4B1,21525.14,243521,4175-4489-8399-6942,Courant,2020-06-24,Actif
CLI000022,5738-886286,Bouchard,Julie,julie.bouchard@bnc.ca,514-208-8988,68,Montréal,E8W 4F3,10452.29,94405,4118-8041-3253-9304,Premium,2022-07-27,Actif
CLI000023,3295-747076,Simard,Sarah,sarah.simard@yahoo.ca,514-799-1312,72,Longueuil,N5P 9H8,129847.83,235201,4603-4502-6770-5121,Entreprise,2017-09-13,Inactif
CLI000024,1212-628671,Fortin,Nicolas,nicolas.fortin@hotmail.com,514-767-5785,54,Trois-Rivières,V2Y 6Z6,371604.19,190902,4376-3288-2597-1023,Étudiant,2018-07-28,Fermé
CLI000025,4128-163070,Girard,Marc,marc.girard@yahoo.ca,514-361-7398,32,Trois-Rivières,T9S 7L8,227114.36,199055,4906-1707-9946-6821,Entreprise,2015-03-01,Inactif
CLI000026,8453-448318,Ouellet,François,françois.ouellet@bnc.ca,514-286-4617,28,Sherbrooke,N3V 4X3,290501.31,89440,4472-5676-7238-5721,Étudiant,2016-02-02,Inactif
CLI000027,8923-761703,Morin,Thomas,thomas.morin@outlook.com,514-216-2033,33,Lévis,F6J 6W5,178955.46,237738,4766-8036-8771-3426,Courant,2019-02-14,Inactif
CLI000028,5227-785068,Lavoie,François,françois.lavoie@outlook.com,514-867-4281,44,Québec,X9N 1L8,16951.13,128845,4630-2283-1292-2081,Premium,2018-02-07,Fermé
CLI000029,6776-929434,Gagnon,Isabelle,isabelle.gagnon@hotmail.com,514-337-6553,70,Sherbrooke,L2Y 6F4,246752.21,175795,4499-4796-8023-9546,Courant,2015-12-04,Fermé
CLI000030,4145-422762,Bélanger,Nathalie,nathalie.bélanger@yahoo.ca,514-630-3122,21,Terrebonne,B4I 8X9,442477.58,68672,4156-8445-8829-9561,Premium,2018-09-26,Fermé
CLI000031,6888-750061,Tremblay,Alexandre,alexandre.tremblay@hotmail.com,514-348-1988,55,Laval,E9D 1J6,145551.70,87985,4163-2292-4153-2965,Courant,2018-09-19,Inactif
CLI000032,7537-870412,Roy,Pierre,pierre.roy@bnc.ca,514-561-6892,73,Laval,S9A 6Z3,299691.70,28815,4164-1987-5121-1417,Épargne,2024-11-02,Actif
CLI000033,1082-631736,Morin,Thomas,thomas.morin@bnc.ca,514-831-1746,39,Trois-Rivières,E8K 0J5,62429.51,52020,4663-4667-7969-3326,Épargne,2023-08-26,Actif
CLI000034,2099-774726,Simard,Sarah,sarah.simard@outlook.com,514-430-5344,35,Terrebonne,G9S 5I1,23238.98,188419,4617-1220-9029-1961,Entreprise,2018-12-26,Suspendu
CLI000035,7742-930524,Leblanc,Laura,laura.leblanc@yahoo.ca,514-446-1993,64,Québec,U8X 5K9,291433.34,230722,4838-3857-1909-4737,Étudiant,2015-01-24,Suspendu
CLI000036,4803-291697,Lévesque,Emma,emma.lévesque@yahoo.ca,514-456-2216,58,Trois-Rivières,S0O 1M7,66943.36,130169,4481-4378-2633-1384,Premium,2019-12-28,Suspendu
CLI000037,6033-488978,Bergeron,Philippe,philippe.bergeron@hotmail.com,514-300-5537,53,Laval,J7N 6Y5,323456.60,223756,4229-7149-3513-2416,Premium,2021-07-13,Suspendu
CLI000038,3989-648729,Bélanger,David,david.bélanger@bnc.ca,514-369-1836,46,Gatineau,G2U 8W8,417383.02,163237,4238-4840-9283-6736,Courant,2020-05-04,Suspendu
CLI000039,7461-509743,Simard,Emma,emma.simard@outlook.com,514-736-8697,42,Longueuil,L5O 1S2,5532.27,199488,4661-1377-9048-1018,Étudiant,2019-05-13,Fermé
CLI000040,5345-616153,Tremblay,Marie,marie.tremblay@gmail.com,514-735-4050,69,Lévis,F0K 1Y4,372357.70,233651,4291-2520-2518-7770,Étudiant,2019-04-19,Actif
CLI000041,2600-379132,Tremblay,Anne,anne.tremblay@bnc.ca,514-904-9800,29,Saguenay,Z5M 3M8,227242.54,84928,4295-3716-1343-5999,Courant,2020-04-09,Actif
CLI000042,2176-128232,Ouellet,Nathalie,nathalie.ouellet@gmail.com,514-981-9826,57,Saguenay,F4T 9H7,429875.41,198865,4379-5973-1985-7920,Premium,2019-01-02,Actif
CLI000043,3235-166251,Fortin,Isabelle,isabelle.fortin@hotmail.com,514-964-9962,18,Gatineau,E3L 6G2,152387.61,141037,4609-6909-6802-6368,Courant,2023-08-09,Fermé
CLI000044,9301-841801,Côté,Isabelle,isabelle.côté@outlook.com,514-737-6248,22,Terrebonne,F5C 4Q8,478994.79,154550,4684-8976-2041-6677,Entreprise,2016-04-26,Suspendu
CLI000045,7369-168134,Lévesque,Anne,anne.lévesque@gmail.com,514-869-1544,46,Laval,H7G 8P3,51754.55,84787,4175-6877-6148-2737,Étudiant,2016-02-15,Fermé
CLI000046,7432-217667,Boucher,David,david.boucher@hotmail.com,514-750-4317,44,Laval,L2S 1R7,207072.50,130562,4757-8211-4232-6769,Premium,2023-03-20,Suspendu
CLI000047,7941-325510,Simard,Julie,julie.simard@gmail.com,514-584-2244,54,Montréal,H4J 7B5,427450.88,61881,4171-7386-1349-5463,Épargne,2020-02-09,Suspendu
CLI000048,2586-236991,Leblanc,Camille,camille.leblanc@hotmail.com,514-367-9315,33,Terrebonne,H3T 4Q5,499116.05,113690,4483-3505-9849-5404,Premium,2016-06-22,Suspendu
CLI000049,3484-852107,Gagné,Marie,marie.gagné@gmail.com,514-347-3485,57,Saguenay,U4X 1X6,236291.05,165181,4396-1183-8933-7731,Courant,2022-05-17,Inactif
CLI000050,2538-407321,Gagné,Jean,jean.gagné@bnc.ca,514-362-7598,64,Laval,J5B 7M6,305591.51,240140,4169-1163-5782-1445,Premium,2024-01-15,Inactif
CLI000051,7603-890437,Bergeron,Luc,luc.bergeron@hotmail.com,514-203-4516,72,Longueuil,Q1A 0G1,60489.61,29393,4906-6534-2954-3201,Courant,2023-11-08,Actif
CLI000052,3522-921584,Ouellet,Nicolas,nicolas.ouellet@outlook.com,514-873-7751,42,Sherbrooke,U8V 1L4,454891.70,177363,4102-7676-5563-6402,Courant,2022-05-09,Suspendu
CLI000053,5963-303965,Lavoie,François,françois.lavoie@gmail.com,514-276-6470,41,Terrebonne,Y6T 8I7,3241.52,218124,4436-9297-8696-4057,Courant,2022-04-05,Actif
CLI000054,2379-789609,Paquette,Sarah,sarah.paquette@gmail.com,514-429-6373,59,Longueuil,P4Z 9H4,9555.53,63239,4359-9320-5199-1016,Premium,2016-05-25,Actif
CLI000055,1311-508916,Roy,Emma,emma.roy@gmail.com,514-474-9171,36,Montréal,J6R 8C5,487883.22,166153,4140-7577-9400-7590,Épargne,2021-01-13,Actif
CLI000056,6922-217286,Ouellet,Anne,anne.ouellet@yahoo.ca,514-868-4046,55,Gatineau,K9O 1X2,175358.90,187090,4632-4580-2794-5024,Premium,2015-03-08,Suspendu
CLI000057,2979-817910,Gauthier,François,françois.gauthier@gmail.com,514-265-8336,66,Trois-Rivières,V5K 2W4,273624.59,147724,4179-1672-1750-8784,Entreprise,2016-07-04,Fermé
CLI000058,4289-317838,Bélanger,Alexandre,alexandre.bélanger@yahoo.ca,514-919-2717,23,Québec,K9F 1N6,201265.62,131507,4759-1300-9040-5887,Courant,2015-03-09,Inactif
CLI000059,2053-245346,Roy,Sarah,sarah.roy@gmail.com,514-377-1800,32,Laval,A7W 5N1,395583.68,168507,4875-4416-1683-8722,Étudiant,2019-04-27,Inactif
CLI000060,6569-107755,Bergeron,Nicolas,nicolas.bergeron@outlook.com,514-405-6670,40,Lévis,N4T 0A1,75734.61,43525,4249-3655-7982-6278,Étudiant,2021-04-09,Fermé
CLI000061,5882-195094,Simard,Nicolas,nicolas.simard@bnc.ca,514-669-2872,63,Trois-Rivières,Q2O 8D9,356302.12,40313,4252-9303-4133-2428,Entreprise,2018-07-13,Actif
CLI000062,2678-214208,Gauthier,Nicolas,nicolas.gauthier@yahoo.ca,514-702-1926,27,Lévis,V0F 2Q5,345548.03,129361,4259-4431-9944-8201,Entreprise,2019-08-02,Actif
CLI000063,4168-237543,Girard,Marie,marie.girard@outlook.com,514-983-7225,54,Montréal,M5N 2V5,322938.10,166399,4252-5939-9383-8370,Premium,2018-08-15,Fermé
CLI000064,3487-712882,Côté,Philippe,philippe.côté@outlook.com,514-397-4559,57,Gatineau,Z9S 2W9,272403.57,65083,4817-4011-5447-4935,Entreprise,2020-04-15,Suspendu
CLI000065,5328-746373,Roy,Sophie,sophie.roy@hotmail.com,514-500-6051,39,Montréal,Z1K 2D7,173327.75,249038,4950-3764-2017-1534,Épargne,2015-04-21,Fermé
CLI000066,6521-265965,Morin,Thomas,thomas.morin@yahoo.ca,514-321-3495,38,Montréal,U7P 8K5,292275.04,64175,4903-8969-5424-5587,Courant,2015-02-27,Actif
CLI000067,8810-687602,Gagné,Isabelle,isabelle.gagné@outlook.com,514-505-3048,52,Sherbrooke,M8P 4M5,413074.87,79502,4135-9572-7329-5584,Entreprise,2020-05-14,Actif
CLI000068,1672-904861,Boucher,Emma,emma.boucher@hotmail.com,514-739-7985,30,Trois-Rivières,Q8P 3L9,195262.17,221029,4488-1782-6057-4268,Entreprise,2020-09-24,Suspendu
CLI000069,3612-122665,Morin,Sophie,sophie.morin@hotmail.com,514-900-9336,18,Longueuil,K3M 8S4,122660.30,244510,4994-3733-6901-1640,Épargne,2020-03-09,Inactif
CLI000070,1759-679489,Gagnon,Luc,luc.gagnon@bnc.ca,514-909-8702,23,Saguenay,L8U 0P7,452410.37,210279,4243-8911-9522-2640,Épargne,2020-02-06,Fermé
CLI000071,3356-693402,Côté,Anne,anne.côté@gmail.com,514-882-4420,64,Montréal,H7J 1T1,213016.85,171136,4378-8078-9317-6849,Entreprise,2015-02-10,Suspendu
CLI000072,3290-377150,Gagné,Sophie,sophie.gagné@hotmail.com,514-935-1662,46,Montréal,U3U 0Y9,44311.66,226254,4152-9116-6878-4144,Courant,2019-10-14,Suspendu
CLI000073,5426-640802,Côté,Luc,luc.côté@outlook.com,514-623-6390,65,Montréal,W1F 1F6,286272.74,182735,4164-5213-2464-1725,Courant,2021-11-19,Suspendu
CLI000074,1019-176432,Boucher,Jean,jean.boucher@yahoo.ca,514-422-9186,61,Longueuil,H0F 2P0,62415.85,247149,4276-2779-9766-3500,Premium,2024-09-27,Inactif
CLI000075,4869-570307,Roy,Emma,emma.roy@yahoo.ca,514-508-3749,28,Terrebonne,A6S 3W2,230533.56,185864,4786-8796-5311-7191,Étudiant,2016-07-28,Inactif
CLI000076,5805-291748,Gagné,Sarah,sarah.gagné@hotmail.com,514-900-7056,18,Longueuil,V5E 2I7,76534.98,190764,4199-3082-7586-5116,Courant,2016-12-22,Fermé
CLI000077,5865-949274,Pelletier,Julie,julie.pelletier@hotmail.com,514-728-5626,38,Laval,R8C 9Q1,338264.64,166998,4200-4792-1721-3606,Épargne,2022-07-08,Fermé
CLI000078,9118-289316,Paquette,Jean,jean.paquette@bnc.ca,514-575-1894,72,Saguenay,H2C 8Q1,148565.26,133279,4540-4201-7908-4485,Étudiant,2015-02-09,Suspendu
CLI000079,7983-681102,Pelletier,Julie,julie.pelletier@yahoo.ca,514-873-9627,48,Sherbrooke,K2G 0J5,491286.60,152320,4776-2272-4210-3904,Premium,2021-11-20,Inactif
CLI000080,4357-698889,Gagnon,François,françois.gagnon@bnc.ca,514-821-8841,60,Lévis,W6C 3J0,370662.86,178216,4978-8332-8868-2815,Entreprise,2016-08-18,Actif
CLI000081,6568-797030,Paquette,François,françois.paquette@gmail.com,514-628-7586,50,Gatineau,K9J 8A7,167522.24,74629,4257-6857-9899-9074,Courant,2017-02-26,Suspendu
CLI000082,4309-658169,Girard,Marc,marc.girard@hotmail.com,514-380-8751,38,Montréal,J2V 4K0,120385.43,63832,4511-6532-9348-6310,Courant,2022-01-08,Fermé
CLI000083,7427-406988,Bergeron,Thomas,thomas.bergeron@outlook.com,514-319-5770,33,Saguenay,X1D 5K1,371966.93,124016,4119-5730-7341-6096,Étudiant,2016-01-28,Inactif
CLI000084,6048-422223,Gagnon,Camille,camille.gagnon@yahoo.ca,514-986-2075,45,Terrebonne,N8N 1R2,84251.47,41455,4922-8785-6239-7983,Premium,2024-12-19,Fermé
CLI000085,4395-283334,Roy,Sarah,sarah.roy@outlook.com,514-679-1746,45,Laval,Z7C 0Q0,277170.83,201598,4824-9560-5491-1540,Entreprise,2016-04-13,Suspendu
CLI000086,5878-341723,Gagné,Thomas,thomas.gagné@gmail.com,514-465-5981,69,Longueuil,Y7H 4W6,210574.90,48297,4747-7362-3272-6774,Premium,2018-05-14,Fermé
CLI000087,4524-166975,Pelletier,François,françois.pelletier@bnc.ca,514-716-8802,63,Laval,E3I 0D7,352259.04,170827,4421-8230-6261-7597,Premium,2017-07-15,Suspendu
CLI000088,9492-334771,Boucher,Alexandre,alexandre.boucher@hotmail.com,514-407-3109,56,Montréal,V1R 3D3,329516.36,107007,4587-8866-7186-1955,Premium,2018-05-21,Inactif
